prodcode,description,drugsubstance
1043,"Naproxen sodium 275mg tablets","Naproxen sodium"
1043,"Naproxen sodium 275mg tablets","Naproxen sodium"
1043,"Naproxen sodium 275mg tablets","Naproxen sodium"
7222,"Tolfenamic acid 200mg tablets","Tolfenamic acid"
2237,"Benorilate 750mg tablets",Benorilate
23142,"Benorilate 2g granules sachets sugar free",Benorilate
4049,"Azapropazone 300mg capsules",Azapropazone
3262,"Azapropazone 600mg tablets",Azapropazone
447,"Diclofenac sodium 75mg modified-release capsules","Diclofenac sodium"
447,"Diclofenac sodium 75mg modified-release capsules","Diclofenac sodium"
3958,"Diclofenac 25mg suppositories","Diclofenac sodium"
499,"Diclofenac 50mg suppositories","Diclofenac sodium"
2904,"Diclofenac sodium 75mg gastro-resistant modified-release capsules","Diclofenac sodium"
2904,"Diclofenac sodium 75mg gastro-resistant modified-release capsules","Diclofenac sodium"
2904,"Diclofenac sodium 75mg gastro-resistant modified-release capsules","Diclofenac sodium"
1116,"Diclofenac 100mg suppositories","Diclofenac sodium"
40,"Diclofenac sodium 50mg gastro-resistant tablets","Diclofenac sodium"
40,"Diclofenac sodium 50mg gastro-resistant tablets","Diclofenac sodium"
40,"Diclofenac sodium 50mg gastro-resistant tablets","Diclofenac sodium"
417,"Diclofenac 50mg dispersible tablets sugar free","Diclofenac sodium"
417,"Diclofenac 50mg dispersible tablets sugar free","Diclofenac sodium"
417,"Diclofenac 50mg dispersible tablets sugar free","Diclofenac sodium"
1692,"Diclofenac sodium 50mg gastro-resistant / Misoprostol 200microgram tablets","Diclofenac sodium/Misoprostol"
1692,"Diclofenac sodium 50mg gastro-resistant / Misoprostol 200microgram tablets","Diclofenac sodium/Misoprostol"
1692,"Diclofenac sodium 50mg gastro-resistant / Misoprostol 200microgram tablets","Diclofenac sodium/Misoprostol"
1115,"Diclofenac sodium 100mg modified-release capsules","Diclofenac sodium"
1115,"Diclofenac sodium 100mg modified-release capsules","Diclofenac sodium"
4880,"Diclofenac sodium 75mg gastro-resistant / Misoprostol 200microgram tablets","Diclofenac sodium/Misoprostol"
4880,"Diclofenac sodium 75mg gastro-resistant / Misoprostol 200microgram tablets","Diclofenac sodium/Misoprostol"
4880,"Diclofenac sodium 75mg gastro-resistant / Misoprostol 200microgram tablets","Diclofenac sodium/Misoprostol"
580,"Diclofenac sodium 75mg modified-release tablets","Diclofenac sodium"
580,"Diclofenac sodium 75mg modified-release tablets","Diclofenac sodium"
580,"Diclofenac sodium 75mg modified-release tablets","Diclofenac sodium"
560,"Diflunisal 250mg tablets",Diflunisal
560,"Diflunisal 250mg tablets",Diflunisal
560,"Diflunisal 250mg tablets",Diflunisal
3492,"Diflunisal 500mg tablets",Diflunisal
3492,"Diflunisal 500mg tablets",Diflunisal
3311,"Etodolac 200mg capsules",Etodolac
3311,"Etodolac 200mg capsules",Etodolac
10033,"Etodolac 300mg capsules",Etodolac
10033,"Etodolac 300mg capsules",Etodolac
10033,"Etodolac 300mg capsules",Etodolac
5455,"Etodolac 600mg modified-release tablets",Etodolac
5455,"Etodolac 600mg modified-release tablets",Etodolac
5455,"Etodolac 600mg modified-release tablets",Etodolac
7424,"Fenbufen 300mg capsules",Fenbufen
7424,"Fenbufen 300mg capsules",Fenbufen
7424,"Fenbufen 300mg capsules",Fenbufen
8145,"Fenbufen 300mg tablets",Fenbufen
8145,"Fenbufen 300mg tablets",Fenbufen
8544,"Fenbufen 450mg tablets",Fenbufen
8544,"Fenbufen 450mg tablets",Fenbufen
4469,"Fenoprofen 300mg tablets","Fenoprofen calcium"
4469,"Fenoprofen 300mg tablets","Fenoprofen calcium"
4469,"Fenoprofen 300mg tablets","Fenoprofen calcium"
4565,"Fenoprofen 600mg tablets","Fenoprofen calcium"
4565,"Fenoprofen 600mg tablets","Fenoprofen calcium"
3266,"Flurbiprofen 50mg tablets",Flurbiprofen
3266,"Flurbiprofen 50mg tablets",Flurbiprofen
3266,"Flurbiprofen 50mg tablets",Flurbiprofen
2366,"Flurbiprofen 100mg tablets",Flurbiprofen
2366,"Flurbiprofen 100mg tablets",Flurbiprofen
2366,"Flurbiprofen 100mg tablets",Flurbiprofen
416,"Ibuprofen 200mg tablets",Ibuprofen
416,"Ibuprofen 200mg tablets",Ibuprofen
416,"Ibuprofen 200mg tablets",Ibuprofen
15,"Ibuprofen 400mg tablets",Ibuprofen
15,"Ibuprofen 400mg tablets",Ibuprofen
