"source","field","desc"
"matt",34,"birth_year"
"matt",52,"birth_month"
"matt",53,"date_attendassessmentcentre"
"matt",50,"height"
"matt",54,"assessment_centre"
"matt",40000,"death_date"
"matt",40007,"death_age"
"matt",40005,"cancer_date"
"icd10",40006,"cancer_type10"
"icd9",40013,"cancer_type9"
"matt",40008,"cancer_age"
"matt",30710,"CRP"
"matt",30080,"platelets"
"matt",30030,"haematocrit_perc"
"matt",30020,"Hb_conc"
"matt",21001,"bmi"
"matt",21002,"weight"
"matt",21024,"ibs"
"matt",21025,"abpain_freq_last3mths"
"matt",21027,"abdiscomfortorpain_geq6mths"
"matt",21035,"abpain_last3mths"
"matt",21038,"abdistension_last3mths"
"matt",26410,"imd_england"
"matt",26411,"imd_england_income"
"matt",26412,"imd_england_employ"
"matt",26426,"imd_wales"
"matt",26418,"imd_wales_income"
"matt",26419,"imd_wales_employ"
"matt",26427,"imd_scotland"
"matt",26428,"imd_scotland_income"
"matt",26429,"imd_scotland_employ"
"matt",20116,"smoking_status"
"sam",22001,"sex_genetic"
"juliet",21003,"age_attendassessmentcentre"
"juliet",20107,"famhist_father"
"juliet",20110,"famhist_mother"
"juliet",20111,"famhist_sibling"
"juliet",1558,"alcohol_freq"
"sam",22040,"physactivity_met_total"
"juliet",6138,"edu_quals"
"juliet",845,"edu_numyrs"
"juliet",6154,"NSAID_current_selfrep"
"juliet",6153,"meds_hrt_bpchol_insulin"
"sam",21000,"ethn_selfrep"
"sam",189,"townsend"
