"ICD","CRC","Skin_M","Skin_NM"
10,"C180","C430","C440"
10,"C181","C431","C441"
10,"C182","C432","C442"
10,"C183","C433","C443"
10,"C184","C434","C444"
10,"C185","C435","C445"
10,"C186","C436","C446"
10,"C187","C437","C447"
10,"C188","C438","C448"
10,"C189","C439","C449"
10,"C19",NA,NA
10,"C20",NA,NA
10,"C218",NA,NA
9,"1530","1720","1730"
9,"1531","1721","1731"
9,"1532","1722","1732"
9,"1533","1723","1733"
9,"1534","1724","1734"
9,"1535","1725","1735"
9,"1536","1726","1736"
9,"1537","1727","1737"
9,"1538","1728","1738"
9,"1539","1729","1739"
9,"1540",NA,NA
9,"1541",NA,NA
9,"1548",NA,NA
