"comorbidity","read"
"GALL","12E4."
"GALL","14C7."
"GALL","14CE."
"GALL","4G2.."
"GALL","4G21."
"GALL","4G2Z."
"GALL","6648."
"PEP","76121"
"PEP","76125"
"PEP","761D6"
"PEP","761J."
"PEP","761J."
"PEP","761J0"
"PEP","761J1"
"PEP","761J1"
"PEP","761Jy"
"PEP","761Jz"
"PEP","7627."
"PEP","76270"
"HAEMR","7734."
"HAEMR","7734."
"HAEMR","77340"
"HAEMR","77340"
"HAEMR","77341"
"HAEMR","77342"
"HAEMR","7734y"
"HAEMR","7734z"
"HAEMR","7735."
"HAEMR","77351"
"HAEMR","77352"
"HAEMR","77353"
"HAEMR","77354"
"HAEMR","77355"
"HAEMR","7735y"
"HAEMR","7735z"
"HAEMR","7736."
"HAEMR","77360"
"HAEMR","77361"
"HAEMR","77362"
"HAEMR","7736y"
"HAEMR","7736y"
"HAEMR","7736z"
"GALL","B7152"
"IBS","Eu453"
"HAEMR","G84.."
"HAEMR","G84.."
"HAEMR","G840."
"HAEMR","G841."
"HAEMR","G842."
"HAEMR","G8420"
"HAEMR","G8421"
"HAEMR","G8422"
"HAEMR","G8423"
"HAEMR","G8424"
"HAEMR","G8425"
"HAEMR","G8426"
"HAEMR","G8427"
"HAEMR","G842z"
"HAEMR","G843."
"HAEMR","G844."
"HAEMR","G845."
"HAEMR","G8450"
"HAEMR","G8451"
"HAEMR","G8452"
"HAEMR","G8453"
"HAEMR","G845z"
"HAEMR","G846."
"HAEMR","G847."
"HAEMR","G848."
"HAEMR","G8480"
"HAEMR","G8481"
"HAEMR","G8482"
"HAEMR","G8483"
"HAEMR","G848z"
"HAEMR","G849."
"HAEMR","G84z."
"HAEMR","Gyu83"
"HAEMR","Gyu84"
"HAEMR","Gyu85"
"IBD","J08z9"
"PEP","J1020"
"PEP","J11.."
"PEP","J11.."
"PEP","J11.."
"PEP","J110."
"PEP","J1100"
"PEP","J1101"
"PEP","J1101"
"PEP","J1102"
"PEP","J1103"
"PEP","J1104"
"PEP","J110y"
"PEP","J110z"
"PEP","J111."
"PEP","J1110"
"PEP","J1111"
"PEP","J1111"
"PEP","J1112"
"PEP","J1112"
"PEP","J1113"
"PEP","J1114"
"PEP","J111y"
"PEP","J111z"
"PEP","J112."
"PEP","J11y."
"PEP","J11y0"
"PEP","J11y1"
"PEP","J11y2"
"PEP","J11y4"
"PEP","J11yy"
"PEP","J11yz"
"PEP","J11z."
"PEP","J11z."
"PEP","J12.."
"PEP","J120."
"PEP","J1200"
"PEP","J1201"
"PEP","J1202"
"PEP","J1203"
"PEP","J1204"
"PEP","J120y"
"PEP","J120z"
"PEP","J121."
"PEP","J1210"
"PEP","J1211"
"PEP","J1213"
"PEP","J1214"
"PEP","J121y"
"PEP","J121z"
"PEP","J122."
"PEP","J123."
"PEP","J124."
"PEP","J12y."
"PEP","J12y0"
"PEP","J12y2"
"PEP","J12y3"
"PEP","J12y4"
"PEP","J12yy"
"PEP","J12yz"
"PEP","J12z."
"PEP","J13.."
"PEP","J13.."
"PEP","J130."
"PEP","J1300"
"PEP","J1301"
"PEP","J1302"
"PEP","J1303"
"PEP","J130y"
"PEP","J130z"
"PEP","J131."
"PEP","J1310"
"PEP","J1311"
"PEP","J1312"
"PEP","J1314"
"PEP","J131y"
"PEP","J131z"
"PEP","J13y."
"PEP","J13y0"
"PEP","J13y1"
"PEP","J13y2"
"PEP","J13y3"
"PEP","J13y4"
"PEP","J13yz"
"PEP","J13z."
"PEP","J14.."
"PEP","J14.."
"PEP","J14.."
"PEP","J140."
"PEP","J1401"
"PEP","J1402"
"PEP","J1403"
"PEP","J140z"
"PEP","J141."
"PEP","J1413"
"PEP","J14y."
"PEP","J14y1"
"PEP","J14y2"
"PEP","J14yz"
"PEP","J14z."
"IBD","J40.."
"IBD","J40.."
"IBD","J40.."
"IBD","J400."
"IBD","J4000"
"IBD","J4001"
"IBD","J4002"
"IBD","J4003"
"IBD","J4004"
"IBD","J4005"
"IBD","J400z"
"IBD","J401."
"IBD","J4010"
"IBD","J4011"
"IBD","J4012"
"IBD","J401z"
"IBD","J401z"
"IBD","J402."
"IBD","J40z."
"IBD","J40z."
"IBD","J41.."
"IBD","J41.."
"IBD","J41.."
"IBD","J410."
"IBD","J4100"
"IBD","J4101"
"IBD","J4102"
"IBD","J4103"
"IBD","J4104"
"IBD","J410z"
"IBD","J411."
"IBD","J412."
"IBD","J413."
"IBD","J41y."
"IBD","J41yz"
"IBD","J41z."
"DIV","J51.."
"DIV","J51.."
"DIV","J510."
"DIV","J5100"
"DIV","J5101"
"DIV","J5102"
"DIV","J5103"
"DIV","J5104"
"DIV","J5105"
"DIV","J5106"
"DIV","J5107"
"DIV","J5108"
"DIV","J5109"
"DIV","J510y"
"DIV","J510z"
"DIV","J511."
"DIV","J5110"
"DIV","J5111"
"DIV","J5112"
"DIV","J5113"
"DIV","J5114"
"DIV","J5115"
"DIV","J5116"
"DIV","J5117"
"DIV","J511y"
"DIV","J511z"
"DIV","J512."
"DIV","J5120"
"DIV","J5121"
"DIV","J5122"
"DIV","J5123"
"DIV","J5124"
"DIV","J5125"
"DIV","J5126"
"DIV","J5127"
"DIV","J5128"
"DIV","J512y"
"DIV","J512z"
"DIV","J513."
"DIV","J51z."
"IBS","J521."
"IBS","J521."
"IBS","J5210"
"GALL","J64.."
"GALL","J64.."
"GALL","J640."
"GALL","J6400"
"GALL","J6401"
"GALL","J640z"
"GALL","J642."
"GALL","J6420"
"GALL","J642z"
"GALL","J652."
"GALL","J656."
"GALL","J65y."
"GALL","J65yA"
"GALL","J65yC"
"GALL","J6705"
"GALL","J6711"
"GALL","J690."
"GALL","J6901"
"GALL","J690z"
"IBD","Jyu40"
"IBD","Jyu41"
"HAEMR","L416."
"HAEMR","L4161"
"HAEMR","L4162"
"HAEMR","L4163"
"HAEMR","L4164"
"HAEMR","L4165"
"HAEMR","L4166"
"HAEMR","L416z"
"GALL","ZC2C2"
"PEP","ZV127"
"PEP","ZV12C"
"GALL","12E4."
"GALL","14C7."
"GALL","14CE."
"GALL","4G2.."
"GALL","4G2.."
"GALL","4G21."
"GALL","4G2Z."
"GALL","6648."
"PEP","76121"
"PEP","76125"
"PEP","761D6"
"PEP","761J."
"PEP","761J."
"PEP","761J0"
"PEP","761J1"
"PEP","761Jy"
"PEP","761Jz"
"PEP","7627."
"PEP","76270"
"HAEMR","7734."
"HAEMR","7734."
"HAEMR","7734."
"HAEMR","7734."
"HAEMR","7734."
"HAEMR","7734."
"HAEMR","7734."
"HAEMR","77340"
"HAEMR","77341"
"HAEMR","77342"
"HAEMR","7734y"
"HAEMR","7734z"
"HAEMR","7735."
"HAEMR","77351"
"HAEMR","77351"
"HAEMR","77352"
"HAEMR","77352"
"HAEMR","77353"
"HAEMR","77354"
"HAEMR","77355"
"HAEMR","7735y"
"HAEMR","7735z"
"HAEMR","7736."
"HAEMR","77360"
"HAEMR","77361"
"HAEMR","77362"
"HAEMR","7736y"
"HAEMR","7736z"
"GALL","B7152"
"IBS","Eu453"
"HAEMR","G84.."
"HAEMR","G84.."
"HAEMR","G840."
"HAEMR","G841."
"HAEMR","G842."
"HAEMR","G8420"
"HAEMR","G8420"
"HAEMR","G8421"
