"symptom","version","read","desc","possible","new_code"
"Abdominal pain",2,"1829.","retrosternal pain",0,0
"Abdominal pain",2,"196..","type of git pain",0,0
"Abdominal pain",2,"1962.","colicky abdominal pain",0,0
"Abdominal pain",2,"1963.","non-colicky abdominal pain",0,0
"Abdominal pain",2,"1968.","abdominal discomfort",0,0
"Abdominal pain",2,"1969.","abdominal pain",0,0
"Abdominal pain",2,"19690","abdominal wall pain",0,0
"Abdominal pain",2,"196Z.","type of git pain nos",0,0
"Abdominal pain",2,"197..","flank pain",0,0
"Abdominal pain",2,"1971.","central abdominal pain",0,0
"Abdominal pain",2,"1972.","epigastric pain",0,0
"Abdominal pain",2,"1973.","left subcostal pain",0,0
"Abdominal pain",2,"1974.","right subcostal pain",1,1
"Abdominal pain",2,"1975.","left flank pain",0,0
"Abdominal pain",2,"1976.","right flank pain",0,0
"Abdominal pain",2,"1977.","right iliac fossa pain",0,0
"Abdominal pain",2,"1978.","left iliac fossa pain",0,0
"Abdominal pain",2,"1979.","suprapubic pain",0,0
"Abdominal pain",2,"197A.","generalised abdominal pain",0,0
"Abdominal pain",2,"197B.","upper abdominal pain",0,0
"Abdominal pain",2,"197C.","lower abdominal pain",0,0
"Abdominal pain",2,"197D.","right upper quadrant pain",0,0
"Abdominal pain",2,"197Z.","site of git pain nos",0,0
"Abdominal pain",2,"1A53.","c/o - loin pain",0,0
"Abdominal pain",2,"1DC5.","griping pain",0,0
"Abdominal pain",2,"25C..","o/e - umbilical pain on palp.",0,0
"Abdominal pain",2,"25C2.","o/e - abd.pain-r.hypochondrium",0,0
"Abdominal pain",2,"25C3.","o/e - abd. pain - epigastrium",0,0
"Abdominal pain",2,"25C4.","o/e - abd.pain-l.hypochondrium",0,0
"Abdominal pain",2,"25C5.","o/e - abd. pain - r.lumbar",0,0
"Abdominal pain",2,"25C6.","o/e - abd. pain - umbilical",0,0
"Abdominal pain",2,"25C7.","o/e - abd. pain - l.lumbar",0,0
"Abdominal pain",2,"25C8.","o/e - abd. pain - r.iliac",0,0
"Abdominal pain",2,"25C9.","o/e - abd. pain - hypogastrium",0,0
"Abdominal pain",2,"25CA.","o/e - abd. pain - l.iliac",0,0
"Abdominal pain",2,"25CZ.","o/e -abd.pain on palpation nos",0,0
"Abdominal pain",2,"25D..","o/e - guarding of abdomen",0,0
"Abdominal pain",2,"25D2.","o/e - guarding-r.hypochondrium",0,0
"Abdominal pain",2,"25D3.","o/e - guarding - epigastrium",0,0
