"source","field","desc"
"matt",34,"birth_year"
"matt",52,"birth_month"
"matt",53,"date_attendassessmentcentre"
"matt",54,"assessment_centre"
"matt",40000,"death_date"
"matt",40007,"death_age"
"matt",40005,"cancer_date"
"icd10",40006,"cancer_type10"
"icd9",40013,"cancer_type9"
"matt",40008,"cancer_age"
"matt",21001,"bmi"
"matt",20116,"smoking_status"
"sam",22001,"sex_genetic"
"juliet",21003,"age_attendassessmentcentre"
"juliet",20107,"famhist_father"
"juliet",20110,"famhist_mother"
"juliet",20111,"famhist_sibling"
"juliet",1558,"alcohol_freq"
"sam",22040,"physactivity_met_total"
"juliet",6138,"edu_quals"
"juliet",845,"edu_numyrs"
"sam",21000,"ethn_selfrep"
"sam",189,"townsend"
